mean(bx),max(bx),std(bx),min(bx),cv(bx),minmax(bx),mean(by),max(by),std(by),min(by),cv(by),minmax(by),mean(bz),max(bz),std(bz),min(bz),cv(bz),minmax(bz),mean(bt),max(bt),std(bt),min(bt),cv(bt),minmax(bt),mean(vt),max(vt),std(vt),min(vt),cv(vt),minmax(vt),mean(np),max(np),std(np),min(np),cv(np),minmax(np),mean(tp),max(tp),std(tp),min(tp),cv(tp),minmax(tp),Target
-3.950273781,2.519910174,2.32371087,-8.997686501,0.588240461,-3.570637793,7.930330372,11.45347084,2.129884518,-3.444156589,0.268574501,-0.300708548,0.624266023,8.657214892,3.667281274,-8.13045805,5.874548894,-0.939154006,10.01294857,12.38848854,1.417873042,5.322314582,0.141603947,0.429617751,359.0067648,395.8290517,9.654540417,332.3523019,0.026892363,0.83963595,17.25826215,31.00542127,2.78114083,11.79749178,0.161148371,0.38049771,42715.58874,98928.10883,13222.67354,11253.07078,0.309551476,0.113749984,-11.89803081
-3.263391994,0.196708654,1.423559227,-6.497103001,0.436220727,-33.02906541,3.767337392,10.58388736,3.390326303,-3.144041328,0.89992638,-0.297059221,4.476856499,10.17644944,5.267499587,-8.374687758,1.176606753,-0.822947906,9.125400574,11.84336625,1.696835885,4.617660433,0.185946455,0.389894253,424.9171015,470.4450579,11.14574848,404.8440949,0.026230407,0.860555527,15.9391525,28.37516183,4.247362817,7.152078993,0.266473567,0.25205421,116024.9467,203504.5719,33599.55765,46450.64739,0.289589081,0.228253582,-5.717164601
-2.713499437,4.019619658,2.891560122,-7.773792897,1.065620314,-1.933962305,3.33323385,8.233409967,1.866619943,-2.140507573,0.560002696,-0.259978257,4.731279503,8.493483307,2.283993445,-2.224401308,0.482743292,-0.261895059,7.532728406,11.0246935,1.085611159,3.249994646,0.144119249,0.29479229,396.4283691,447.247121,18.92808978,344.1460106,0.047746557,0.76947619,11.6891961,24.02054414,4.662778765,6.245645968,0.398896445,0.260012676,44807.18977,112813.8022,16102.12439,10250.2875,0.359364746,0.090860225,-15.40799536
3.094553018,6.48213644,1.804565732,-2.149989576,0.583142613,-0.331679161,-5.760980028,5.186438383,3.680483571,-10.44792409,0.638864144,-2.014469916,1.952947958,5.915262883,2.323261519,-6.465222694,1.189617731,-1.092973013,7.850348405,11.37065255,2.674162634,1.264901509,0.340642542,0.111242649,367.2489613,387.2519492,7.24898243,351.9940183,0.019738606,0.90895351,15.80403683,34.86112956,6.213238926,8.619224428,0.393142524,0.247244554,48254.48836,76918.97113,12019.04471,32009.70628,0.249076202,0.416148394,-7.132202222
-0.650460393,6.27103035,3.725936954,-7.316881808,5.728153468,-1.166775059,-5.048914426,6.662683984,5.893910445,-10.06228932,1.167361921,-1.510245622,-1.224490715,5.873587189,2.924428415,-5.748822864,2.388281413,-0.978758411,8.954134821,11.88361536,2.100131139,3.24805135,0.234543167,0.273321818,352.1163506,385.2959268,18.69286885,323.1360244,0.053087194,0.838669713,20.60240192,32.67973354,6.160635956,7.722992665,0.299025132,0.236323612,28774.72606,43414.40214,8182.841286,13851.88056,0.284375993,0.319061875,-7.395250924
2.44280305,4.615319829,1.195108567,-1.160537183,0.489236562,-0.251453253,4.890995984,8.559582148,1.93649709,-1.152285706,0.395931033,-0.134619387,-2.235292577,4.062456723,2.330640872,-7.035247189,1.042655845,-1.731771603,6.538403405,9.126221667,1.656844779,2.509486998,0.253402043,0.27497546,440.6693153,453.9938067,6.806716816,424.6085279,0.015446314,0.935273833,7.174956485,11.0251322,2.222065673,3.291601322,0.309697442,0.298554363,85281.43377,130157.1082,22289.67977,35884.57189,0.261366147,0.275701976,-3.998216204
-2.773616188,6.71257221,4.169548575,-11.77967443,1.503289674,-1.754867443,-4.153740738,3.722017792,2.622382326,-12.90371297,0.631330285,-3.466859561,-2.775642003,4.703607866,3.043822434,-10.12539812,1.096619244,-2.152687556,7.673959403,15.30768134,2.699615505,2.886155932,0.35178913,0.188542985,437.7903223,485.9082786,17.12019969,362.8308588,0.039105935,0.746706477,20.08752369,30.53313923,4.477596263,4.745817904,0.222904343,0.155431705,107080.8853,150774.6165,26408.50594,38783.37337,0.246622036,0.257227472,-10.82716351
-2.083074536,1.9208453,1.370156483,-4.186542243,0.65775682,-2.17953119,3.204918935,4.718790656,0.607914933,1.185754738,0.189681844,0.251283607,-0.511847346,2.157262216,0.943124488,-2.450341745,1.842589386,-1.135857165,4.226315908,5.24241666,0.383822367,3.004423817,0.090817245,0.573099014,554.9024383,587.2590284,12.80939174,531.678472,0.023084043,0.905355978,4.679453889,8.198736707,0.545098313,4.011542576,0.116487591,0.489287889,109423.1117,477062.8372,52485.89296,62252.72066,0.479660029,0.130491658,-3.154012642
-1.48781341,8.520517528,4.860082386,-17.83425054,3.266594018,-2.093094754,1.727833767,18.02631405,9.273623724,-19.6422001,5.367196717,-1.089640403,-2.804488604,15.91145027,12.93959127,-32.67022327,4.613886201,-2.053252389,15.74305287,32.84429599,6.501842886,3.452996058,0.412997589,0.10513229,758.8274726,855.1354506,55.02161634,621.9907493,0.07250873,0.727359331,3.739011274,9.777246788,1.604373427,1.461626348,0.429090289,0.149492631,661507.031,4490265.998,554875.4777,83669.50043,0.83880511,0.018633529,-16.26440829
-1.792799887,6.778459132,2.27333111,-10.70126218,1.268033943,-1.578716043,5.466581617,15.24110388,5.16707968,-9.436961126,0.945212208,-0.619178322,0.622333936,18.12282768,6.506027885,-11.02559136,10.45423929,-0.608381405,9.933133247,18.30750235,3.002158395,2.267977654,0.302236799,0.123882418,562.1738266,610.8552265,28.29255777,480.7224978,0.050327063,0.786966333,12.32172506,23.51227194,2.306611931,7.893058724,0.187198783,0.335699534,435322.155,1358405.755,250768.4101,68936.69795,0.576052487,0.050748238,-9.63903138
0.962930151,16.73792881,6.702063928,-15.38206649,6.960072776,-0.918994618,-5.06191934,22.88437938,10.92417136,-24.50038885,2.158108541,-1.070616268,-1.890143833,11.26738095,7.829548586,-22.45346536,4.142303061,-1.992784788,15.07567555,25.1353292,5.3295332,3.488895931,0.353518698,0.138804465,408.3128933,498.1528975,26.22913854,359.2335198,0.064237841,0.721131045,29.58534976,69.33706318,12.42278616,12.90444907,0.419896546,0.18611185,171231.2221,498169.9074,87682.54326,12751.62704,0.512071001,0.025596944,-24.74127541
0.055546583,6.221129268,2.099962845,-5.061031401,37.80543669,-0.813522945,-0.542723418,9.890895052,4.982841253,-11.59947703,9.181179743,-1.172742908,-2.331323203,3.999259738,3.052116302,-16.45368885,1.30917768,-4.114183605,6.121276961,19.35422468,2.610868666,0.262650088,0.426523531,0.013570685,371.996671,400.6955969,8.706936789,351.2004025,0.023405954,0.87647682,48.2332958,84.32130848,15.87264281,19.21312324,0.329080618,0.227856085,76168.71021,134652.513,25597.82266,17110.47181,0.33606743,0.127071314,-22.99783875
1.73113469,4.631488293,1.804885749,-3.007775575,1.042602727,-0.649418801,0.017355541,3.146412103,1.873305562,-3.580917371,107.9370284,-1.138095473,-3.373434075,1.994205697,1.547029242,-5.089115012,0.458591811,-2.551950895,4.798718534,6.023700978,0.713913291,0.697036668,0.148771653,0.115715682,442.9272258,455.8651449,8.518789386,409.8118605,0.019232932,0.898976079,7.661514906,10.20346811,0.892300049,5.88291291,0.116465224,0.576560131,50507.15733,102399.5361,14649.92417,28948.23521,0.290056399,0.28269889,-7.22620905
-3.18967589,-0.881271571,0.886672421,-4.321799576,0.277981981,4.904049692,2.336918862,3.611671583,0.907537266,-0.421892921,0.388347786,-0.116813755,-3.4702654,-0.963171288,1.133311471,-5.258728867,0.326577751,5.459806507,5.525919768,5.850985731,0.190739302,4.943638299,0.034517204,0.844924005,470.5484336,488.517437,5.233782292,455.303743,0.011122728,0.932011242,8.411072618,10.40909124,0.523762874,7.399923084,0.06227064,0.710909619,66869.84777,98884.09766,8778.908962,52314.0749,0.131283519,0.529044367,-5.673855238
1.008167093,6.66131255,1.769996937,-2.706751764,1.755658312,-0.406339103,-0.608799503,8.385397675,5.029369476,-8.23817596,8.26112612,-0.982443085,-5.757256307,2.540352399,4.359082616,-12.37394476,0.757145832,-4.870955999,8.642335297,12.55580351,2.696688019,1.252393601,0.31203233,0.099746193,421.1797351,431.093221,4.945320927,405.1626512,0.011741593,0.939849275,15.28572014,33.71384357,5.347294673,7.015186268,0.349822882,0.208080288,47432.47501,104900.2316,15948.72627,21486.45041,0.336240651,0.204827483,-13.40584085
-1.537088706,5.603637695,2.739562024,-7.670269519,1.78230574,-1.368801828,3.462939533,8.343525676,3.033400146,-5.630637094,0.875961049,-0.674851054,0.219325474,7.617097599,2.797624063,-5.944157014,12.75558196,-0.780370336,5.952405242,9.608394047,1.872160337,0.575159291,0.314521653,0.059860086,428.2141069,444.6872011,11.38998836,387.4080794,0.026598816,0.871192331,23.80779776,35.58231805,6.452718586,13.9717803,0.271033829,0.392660767,71001.89206,158499.6038,23029.25795,12467.74148,0.324347102,0.078661026,-19.50230514
1.00550561,6.588505924,3.700883564,-4.900343806,3.680619507,-0.743771632,0.905860658,6.936026158,3.109263655,-4.697142577,3.432386239,-0.677209467,-3.009737287,5.032951448,2.899538288,-7.838502213,0.963385841,-1.557436485,6.426575742,9.455376195,1.16646892,3.933905635,0.181507068,0.416049616,311.9821591,342.4128157,11.66581458,287.8049106,0.03739257,0.840520265,15.55293875,29.05378794,4.069224331,5.713233831,0.261637006,0.196643338,36721.9628,108548.8376,20323.5844,7414.782609,0.553444937,0.068308264,-8.502532315
-7.600957757,8.464401394,3.692053057,-12.92040774,0.485735242,-1.526440813,-1.685403281,8.35652103,3.420288259,-15.12869638,2.029358966,-1.810406068,10.71132581,17.83099433,5.623603823,-14.35132949,0.52501473,-0.804853012,14.89266156,18.99483405,3.242039919,1.577097329,0.217693789,0.083027697,413.8424605,469.6485366,30.696258,350.8812265,0.074173776,0.747114489,23.48615687,55.04327876,13.33408535,6.125681722,0.567742327,0.11128846,30620.82965,98689.52387,15810.59564,12214.55096,0.516334659,0.123767453,-14.87832407
-0.627508098,5.621225089,3.52742899,-8.508984089,5.621328233,-1.513724136,5.11418902,11.51137345,6.104169373,-10.9299296,1.193575237,-0.94948962,-2.84337269,9.474743016,5.304718428,-12.09139269,1.865643025,-1.276171044,10.53769474,12.73282817,1.197551748,4.481076689,0.113644566,0.351930979,430.7767889,465.1544279,10.611965,407.5363544,0.024634487,0.876131302,13.13291445,32.37214131,3.007288133,7.31809473,0.228988633,0.226061497,108008.4401,285949.3266,40676.03436,22963.77476,0.376600517,0.080307148,-6.407338133
1.962521894,15.70628679,6.506012433,-14.60246238,3.315128587,-0.929720855,3.780432854,32.29028347,17.14959305,-23.7174681,4.536409907,-0.734507894,2.74024005,32.64605583,14.41328,-24.48094595,5.259860354,-0.749889851,22.69003673,34.90456922,7.415773287,6.035964615,0.326829497,0.172927635,447.5978786,472.408689,7.626212661,424.9024523,0.017038089,0.899438267,43.30318327,112.3694151,22.64285607,21.4106893,0.52289126,0.190538407,250962.1086,927726.3373,214599.0196,48950.954,0.855105262,0.052764433,-14.05846227
-1.635357887,1.949851751,1.278408858,-2.905057043,0.781730328,-1.489886111,0.37624195,5.705415555,2.418542801,-2.779951963,6.428158261,-0.487247938,-4.651326041,-1.299101904,1.067157793,-6.041230557,0.229430873,4.650313065,5.738095686,6.410775508,0.384121721,5.038366635,0.066942369,0.785921552,422.4052591,427.4337994,3.872956114,412.0306904,0.009168816,0.963963755,10.61391624,12.3421048,1.440676842,8.411807459,0.13573471,0.681553722,20483.36991,42157.92742,6693.433996,13228.2753,0.326774062,0.313779071,-5.607069103
2.281766028,6.180292606,2.084807308,-5.401128054,0.913681456,-0.873927563,5.607598154,9.631462857,2.297583338,-3.596646392,0.409726816,-0.373426804,-0.489746443,9.422759319,2.957971619,-5.958029639,6.039802154,-0.632302008,7.344047724,10.05778687,1.15383477,4.200388442,0.157111557,0.417625517,430.4470528,479.09859,23.801252,380.6167095,0.055294262,0.794443393,6.146733863,16.04314199,3.031171295,2.079098652,0.493135275,0.129594231,107449.6368,268683.3663,43276.09309,38190.87542,0.402756997,0.142140825,-8.067103256
-4.952019842,-2.332144856,0.963855259,-6.39108941,0.194638812,2.740434151,6.252233044,7.420029908,0.878119858,3.178743406,0.140448997,0.42840035,1.893519305,4.334999507,1.347050349,-4.250711363,0.711400378,-0.980556366,8.33463404,9.752460411,1.116631277,6.191902197,0.133974842,0.634906673,479.2168305,498.0376164,7.293210422,461.6488264,0.01521902,0.926935659,6.825473258,22.9367685,2.034011153,5.366319583,0.298002948,0.233961449,67596.44014,167362.5078,44725.49927,17128.74109,0.661654655,0.102345151,-9.123877266
1.929472787,9.915918589,4.429329441,-7.039826959,2.295616435,-0.709952073,1.081500402,13.10941437,6.088247077,-12.00136713,5.629445043,-0.915476984,-0.773250648,13.13989337,5.838648647,-12.02787166,7.550784032,-0.915370568,9.642918698,13.9052273,1.81109737,2.733668622,0.187816306,0.196592876,356.0574573,396.7534891,18.83506817,320.4598061,0.052898957,0.807705074,20.97107588,41.42425518,3.32479634,9.882858184,0.158542001,0.238576605,87271.98392,156193.9288,24828.75999,12822.24527,0.284498631,0.082091829,-14.34334432
2.232487724,12.94634449,4.376258778,-9.964555651,1.960261072,-0.769681021,-7.667875194,9.315138763,4.251943978,-15.96310825,0.554513978,-1.713673694,-0.534066643,14.71895508,7.220510731,-14.42045397,13.51986841,-0.979719952,12.23423591,16.80733934,1.937899368,1.667370129,0.158399706,0.099204883,447.0779839,521.6165402,28.96212729,383.0704014,0.064780929,0.734390825,17.94292936,31.90702717,5.145463601,4.303316088,0.286768314,0.134870481,150434.5106,483961.7672,77975.07748,13199.51386,0.518332377,0.027273877,-16.09623278
